antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'EGGS', 'CANNED JUICES'})",frozenset({'FLUID MILK PRODUCTS'}),0.02452056101517031,0.3322202079954203,0.020131666825684572,0.8210116731517509,2.471287577915997,1.0,0.011985440945060297,3.730856664025586,0.610317976844744,0.059807256235827666,0.7319650444782828,0.4408045154960363
"frozenset({'BAKED BREAD/BUNS/ROLLS', 'CHEESE', 'COLD CEREAL'})",frozenset({'FLUID MILK PRODUCTS'}),0.03358458162389085,0.3322202079954203,0.026905829596412557,0.8011363636363636,2.411461868831915,1.0,0.01574835290388437,3.357978382651601,0.6056544336918994,0.0793918918918919,0.7022017755783294,0.4410621508015247
"frozenset({'FLUID MILK PRODUCTS', 'CRACKERS/MISC BKD FD', 'BAG SNACKS'})",frozenset({'BAKED BREAD/BUNS/ROLLS'}),0.025188436217918136,0.2938650892090449,0.02003625608243488,0.7954545454545454,2.706869834710744,1.0,0.01263425402622003,3.452215119422447,0.6468630713516689,0.06700701978302488,0.7103309135129159,0.43181818181818177
"frozenset({'FLUID MILK PRODUCTS', 'SOFT DRINKS', 'BAG SNACKS', 'CHEESE'})",frozenset({'BAKED BREAD/BUNS/ROLLS'}),0.026524186623413798,0.2938650892090449,0.02108577425818147,0.7949640287769784,2.7052006446790617,1.0,0.013291241789894619,3.443956231576938,0.6475165010024999,0.07044947401976412,0.7096362634254169,0.4333586377651126
"frozenset({'BAKED BREAD/BUNS/ROLLS', 'BEEF', 'COLD CEREAL'})",frozenset({'FLUID MILK PRODUCTS'}),0.027764526285659764,0.3322202079954203,0.02203988169067837,0.7938144329896907,2.389422479082409,1.0,0.012815944993162168,3.238731991222211,0.5980946433350751,0.06521739130434782,0.6912371870502855,0.43007780810886026
"frozenset({'BAKED BREAD/BUNS/ROLLS', 'BAG SNACKS', 'EGGS'})",frozenset({'FLUID MILK PRODUCTS'}),0.026715008109913178,0.3322202079954203,0.020990363514931783,0.7857142857142857,2.3650406170509557,1.0,0.012115097964057088,3.1163056960213718,0.5930167274153159,0.062111801242236024,0.6791072193986896,0.42444818248953803
"frozenset({'DELI MEATS', 'BAG SNACKS'})",frozenset({'BAKED BREAD/BUNS/ROLLS'}),0.03396622459688961,0.2938650892090449,0.026619597366663486,0.7837078651685393,2.6668967970232016,1.0,0.016638109745404063,3.264727639501039,0.6470088056993671,0.08837503959455179,0.6936957350130334,0.4371461403764774
"frozenset({'BAKED BREAD/BUNS/ROLLS', 'BEEF', 'EGGS'})",frozenset({'FLUID MILK PRODUCTS'}),0.028432401488407595,0.3322202079954203,0.02184906020417899,0.7684563758389261,2.3130934161883356,1.0,0.012403241867890921,2.8840344640197784,0.5842913117890207,0.06448887637285271,0.6532635055247585,0.41711158826409256
"frozenset({'CRACKERS/MISC BKD FD', 'COLD CEREAL'})",frozenset({'FLUID MILK PRODUCTS'}),0.029577330407403873,0.3322202079954203,0.0227077568934262,0.767741935483871,2.310942913787034,1.0,0.012881570033529216,2.8751629933530523,0.5845661044872181,0.06696679797411367,0.6521936313482573,0.4180467287987994
"frozenset({'FLUID MILK PRODUCTS', 'BEEF', 'COLD CEREAL'})",frozenset({'BAKED BREAD/BUNS/ROLLS'}),0.028718633718156663,0.2938650892090449,0.02203988169067837,0.7674418604651163,2.611544850498339,1.0,0.013600477831130376,3.0363801164011077,0.6353307138179437,0.07333333333333335,0.6706604701438837,0.42122093023255813
